Input Current [A],Battery Voltage [V],Raw - input current [V],Raw - battery voltage [V]
-0.069246,12.785668,2.42555,2.3331
-0.069099,12.825258,2.425575,2.34235
-0.067486,12.772293,2.42585,2.329975
-0.067779,12.828897,2.4258,2.3432
-0.066606,12.79701,2.426,2.33575
-0.069246,12.801825,2.42555,2.336875
-0.066165,12.796476,2.426075,2.335625
-0.068806,12.812418,2.425625,2.33935
-0.069833,12.78813,2.42545,2.333675
-0.071006,12.809316,2.42525,2.338625
-0.068659,12.795726,2.42565,2.33545
-0.069246,12.818197,2.42555,2.3407
-0.067192,12.789843,2.4259,2.334075
1.702416,14.29897,2.72745,2.686675
1.694053,14.295011,2.726025,2.68575
1.694494,14.295011,2.7261,2.68575
1.727356,14.321974,2.7317,2.69205
1.734252,14.325292,2.732875,2.692825
1.717967,14.312558,2.7301,2.68985
1.720314,14.315767,2.7305,2.6906
0.754527,13.546545,2.565925,2.510875
0.752326,13.553072,2.56555,2.5124
0.838005,13.615881,2.58015,2.527075
0.828908,13.607321,2.5786,2.525075
0.834923,13.612993,2.579625,2.5264
0.831989,13.610316,2.579125,2.525775
0.830816,13.607536,2.578925,2.525125
0.825094,13.606465,2.57795,2.524875
0.827588,13.60807,2.578375,2.52525
0.835804,13.615132,2.579775,2.5269
0.835217,13.616203,2.579675,2.52715
0.829789,13.60882,2.57875,2.525425
0.83331,13.613527,2.57935,2.526525
0.836244,13.61342,2.57985,2.5265
0.831549,13.607107,2.57905,2.525025
0.829055,13.611494,2.578625,2.52605
0.830522,13.609034,2.578875,2.525475
0.83331,13.612671,2.57935,2.526325
0.828908,13.611814,2.5786,2.526125
0.83331,13.611387,2.57935,2.526025
0.830082,13.610425,2.5788,2.5258
0.833603,13.61449,2.5794,2.52675
0.833603,13.60775,2.5794,2.525175
0.830082,13.607536,2.5788,2.525125
1.829026,14.399335,2.749025,2.710125
1.861301,14.420522,2.754525,2.715075
1.859101,14.418917,2.75415,2.7147
1.859688,14.420201,2.75425,2.715
1.858661,14.419452,2.754075,2.714825
1.85778,14.417097,2.753925,2.714275
1.859981,14.418274,2.7543,2.71455
1.860128,14.418917,2.754325,2.7147
1.860422,14.419238,2.754375,2.714775
1.854113,14.41699,2.7533,2.71425
